# KIC02697935_morp_-1.0_T0_55008.46944_P_21.5133595.csv, none
# name, value
id,KIC02697935_morp_-1.0_T0_55008.46944_P_21.5133595.csv,target identifier
stage,  9,furthest stage the analysis reached
t_tot,1297.713942910079,total time base of observations in days
t_mean,2455736.4814415593,time series mean time reference point
period,21.5131697076334,orbital period in days
p_err,0.00021880802855549274,error in the orbital period
p_err_l,-1.0,lower HDI error estimate in period
p_err_u,-1.0,upper HDI error estimate in period
n_param_prew,667.0,number of free parameters after the prewhitening phase
bic_prew,-467272.3831124852,BIC after the prewhitening phase
noise_level_prew,0.00013027542690386944,noise level after the prewhitening phase
t_1,3.448306394403536,time of primary minimum with respect to the mean time
t_2,19.855384705347873,time of secondary minimum with respect to the mean time
t_1_1,3.3417730714780127,time of primary first contact with respect to the mean time
t_1_2,4.536486632735287,time of primary last contact with respect to the mean time
t_2_1,19.207407385776634,time of secondary first contact with respect to the mean time
t_2_2,20.503491104066434,time of secondary last contact with respect to the mean time
t_b_1_1,3.448306394403536,start of (flat) eclipse bottom left of primary minimum
t_b_1_2,3.448306394403536,end of (flat) eclipse bottom right of primary minimum
t_b_2_1,19.297289498697236,start of (flat) eclipse bottom left of secondary minimum
t_b_2_2,20.41266241073211,end of (flat) eclipse bottom right of secondary minimum
depth_1,0.0016990901043979002,depth of primary minimum
depth_2,0.00012122281509797762,depth of secondary minimum
t_1_err,0.0041645105517638375,error in time of primary minimum (t_1)
t_2_err,0.014641765813190008,error in time of secondary minimum (t_2)
t_1_1_err,0.0058813154699178544,error in time of primary first contact (t_1_1)
t_1_2_err,0.0058976877576143606,error in time of primary last contact (t_1_2)
t_2_1_err,0.020708558834056347,error in time of secondary first contact (t_2_1)
t_2_2_err,0.020704608557749297,error in time of secondary last contact (t_2_2)
t_b_1_1_err,0.0058813154699178544,error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_err,0.0058976877576143606,error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_err,0.020708558834056347,error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_err,0.020704608557749297,error in end of (flat) eclipse bottom right of secondary minimum
d_1_err,6.000478208146453e-05,error in depth of primary minimum
d_2_err,2.0057564129272394e-05,error in depth of secondary minimum
t_1_ind_err,0.01646330583592405,individual error in time of primary minimum (t_1)
t_2_ind_err,0.05788240072015885,individual error in time of secondary minimum (t_2)
t_1_1_ind_err,0.02325024612023119,individual error in time of primary first contact (t_1_1)
